样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
148,5.997935,0.07337434,0.0037920712,0.22634742,0.1706153,-0.040367696,0.74039555,-0.00071204815,1.173445,7.17138,7.1713796,4.7683716e-07
149,5.997935,0.10244805,0.031806447,0.2096353,0.2326675,0.013318649,0.78153133,0.4032247,1.774632,7.772567,7.772568,1.4305115e-06
150,5.997935,-0.5644892,0.04404801,0.108119816,0.023490261,-0.07864152,0.53873736,-0.15873021,-0.087465465,5.9104695,5.910467,2.3841858e-06
151,5.997935,-0.6816779,-0.22992712,-0.17707682,-0.003085273,-0.61428136,-0.56819904,-0.26490083,-2.5391486,3.4587862,3.4587853,9.536743e-07
152,5.997935,0.1320483,0.35236785,-0.053535946,0.17212942,0.25866663,0.4374446,0.40743437,1.7065551,7.7044897,7.704491,1.4305115e-06
153,5.997935,0.11624344,0.3373194,-0.07929538,0.1864682,0.22876249,0.46765336,0.21264076,1.4697922,7.467727,7.467727,0.0
154,5.997935,0.18602511,0.44530812,-0.02583666,0.9429177,0.14498478,0.31666738,0.036543377,2.0466096,8.044544,8.044544,0.0
155,5.997935,0.31115317,0.68071324,0.07978616,1.127251,0.23912734,0.502836,0.13959815,3.080465,9.0784,9.078394,5.722046e-06
156,5.997935,0.7526798,0.73928636,0.052047957,1.0833926,0.3492385,0.47859433,0.10248448,3.5577242,9.555659,9.555663,3.8146973e-06
157,5.997935,0.7130811,1.1681235,0.06619762,0.9613511,0.31410944,0.5062878,0.035334226,3.7644846,9.76242,9.762414,5.722046e-06
158,5.997935,-0.2662559,-0.03334702,0.13524671,-0.0414383,0.1842237,0.35040295,-0.04001978,0.28881237,6.286747,6.28674,7.1525574e-06
159,5.997935,-0.25581822,-0.24947432,0.10020562,0.14225881,0.1292697,0.2470351,-0.054691877,0.058784816,6.05672,6.056714,5.722046e-06
160,5.997935,-0.16652517,-0.30026728,-0.17322594,-0.39742258,-0.532558,-0.2225724,-0.534835,-2.3274064,3.6705284,3.6705263,2.1457672e-06
161,5.997935,-0.17133054,-0.28515124,-0.061566714,-0.30161172,-0.5098323,0.056538068,-0.2376406,-1.5105951,4.48734,4.487335,4.7683716e-06
162,5.997935,0.5706319,-0.25571385,-0.22336532,-0.14984284,-0.46193588,-0.073022455,-0.09209297,-0.6853415,5.3125935,5.3125973,3.8146973e-06
163,5.997935,0.6108905,-0.12636976,-0.072350144,-0.06259914,-0.40361676,0.19660798,-0.34647608,-0.20391339,5.7940216,5.7940207,9.536743e-07
164,5.997935,0.5700379,-0.24412645,-0.19234146,-0.12859116,-0.45020902,-0.06620269,-0.0341602,-0.5455931,5.4523416,5.4523444,2.861023e-06
165,5.997935,-0.87312675,-0.12197687,0.08234875,0.24051692,0.0058522928,-0.0126519995,-0.37197843,-1.0510161,4.9469185,4.946923,4.2915344e-06
166,5.997935,-0.8283666,-0.102323145,0.1101401,0.33095163,0.076268725,-0.012083785,-0.08025519,-0.5056682,5.4922667,5.4922714,4.7683716e-06
167,5.997935,-0.82617706,0.35299546,0.13327898,0.36898503,0.055299595,-0.014120729,-0.24323122,-0.17296997,5.824965,5.824967,1.9073486e-06
